ID,Image,Orientation,Height (mm),Width (mm),Made On,Title,Medium,Location,Painting Cost,Framed,Framing Cost,List Price,Featured,Status,Exhibited,Sales Channel,Sold On,Sold Price,Bought By
1,/art/1.jpg,Vertical,410,310,16/07/2024,KL Dusk,Watercolor on Paper,Home,5,FALSE,,45,FALSE,Available,,,,,
2,/art/2.jpg,Horizontal,180,260,16/07/2024,National Mosque,Watercolor on Paper,Home,2.5,FALSE,,20,FALSE,Available,,,,,
3,/art/3.jpg,Horizontal,310,410,16/07/2024,St. John's Institution,Watercolor on Paper,Home,5,FALSE,,45,FALSE,Available,,,,,
4,/art/4.jpg,Vertical,410,310,15/07/2024,Merdeka!,Watercolor on Paper,Home,5,FALSE,,45,FALSE,Available,,,,,
5,/art/5.jpg,Horizontal,310,410,15/07/2024,Sri Maha Mariamman Temple,Watercolor on Paper,Home,5,FALSE,,45,FALSE,Available,,,,,
6,/art/6.jpg,Horizontal,310,410,14/07/2024,Thean Hou Temple,Watercolor on Paper,Home,5,FALSE,,45,FALSE,Available,,,,,
7,/art/7.jpg,Horizontal,270,380,29/06/2024,The Calm Before the Storm,Watercolor on Paper,Home,4,FALSE,,20,FALSE,Available,,,,,
8,/art/8.jpg,Vertical,380,270,04/07/2024,Holttum Hall,Watercolor on Paper,Green Pavilion @ Singapore Botanical Gardens,4,FALSE,,20,FALSE,Exhbiting,Living Story: An Interactive Exhibition,,,,
9,/art/9.jpg,Horizontal,180,260,02/07/2024,Late Afternoon Tea,Watercolor on Paper,Home,2.5,FALSE,,20,FALSE,Available,,,,,
10,/art/10.jpg,Vertical,380,270,07/07/2024,River Sparkle,Watercolor on Paper,Home,4,FALSE,,20,FALSE,Sold,,,,,
11,/art/11.jpg,Horizontal,310,410,22/07/2024,Jog by the Pier,Watercolor on Paper,Home,4,FALSE,,45,FALSE,Available,,,,,
12,/art/12.jpg,Horizontal,310,410,23/07/2024,Jing'an Temple,Watercolor on Paper,Home,4,FALSE,,45,FALSE,Available,,,,,
13,/art/13.jpg,Horizontal,310,410,23/07/2024,Hogwarts,Watercolor on Paper,Home,4,FALSE,,45,FALSE,Available,,,,,
14,/art/14.jpg,Vertical,410,310,24/07/2024,Blinding Light,Watercolor on Paper,Home,4,FALSE,,45,FALSE,Available,,,,,
15,/art/15.jpg,Vertical,410,310,24/07/2024,Nanjing Rd,Watercolor on Paper,Home,4,FALSE,,45,FALSE,Available,,,,,
16,/art/16.jpg,Horizontal,310,410,25/07/2024,Dawn Harvest,Watercolor on Paper,Home,4,FALSE,,45,FALSE,Available,,,,,
17,/art/17.jpg,Horizontal,310,410,25/07/2024,Laundry by the Stream,Watercolor on Paper,Home,4,FALSE,,45,FALSE,Available,,,,,
18,/art/18.jpg,Horizontal,310,410,20/07/2024,Aokka,Watercolor on Paper,Home,4,FALSE,,45,FALSE,Available,,,,,
19,/art/19.jpg,Vertical,260,180,30/07/2024,Shanghai Summer,Watercolor on Paper,Home,2.5,FALSE,,20,FALSE,Available,,,,,
20,/art/20.jpg,Horizontal,310,410,30/07/2024,Valley Glow,Watercolor on Paper,Home,4,FALSE,,45,FALSE,Available,,,,,
21,/art/21.jpg,Horizontal,310,410,30/07/2024,Skyline at Daybreak,Watercolor on Paper,Home,4,FALSE,,45,FALSE,Available,,,,,
22,/art/22.jpg,Vertical,410,310,01/08/2024,Seaside Lot,Watercolor on Paper,Home,4,FALSE,,45,FALSE,Available,,,,,
23,/art/23.jpg,Vertical,410,310,01/08/2024,Queen's Clock Tower,Watercolor on Paper,Home,4,FALSE,,45,FALSE,Available,,,,,
